"CODE_ID","DESC_FRE","DESC_ENG"
814,"Autres","Other"
1266,"Gaspareau","Alewife"
1268,"Baudroie d'Amérique","Monkfish"
1277,"Capelan","Capelin"
1283,"Palourdes non spécifiées","Clams, Unspecified"
1284,"Morue de l'Atlantique","Cod, Atlantic"
1286,"Crabe nordique","Crab, Jonah"
1287,"Crabe commun","Crab, Rock"
1289,"Crabe rouge","Crab, Red"
1293,"Aiguillat commun","Spiny Dogfish"
1298,"Plie rouge","Flounder, Winter"
1299,"Plies non spécifiées","Flatfishes, not specified"
1300,"Flétan du Groenland","Halibut, Greenland"
1303,"Aiglefin","Haddock"
1304,"Flétan atlantique","Halibut, Atlantic"
1315,"Maquereau bleu","Mackerel, Atlantic"
1322,"Autre (non valide)","Other (invalid)"
1325,"Plie canadienne","Plaice, American"
1326,"Goberge","Pollock"
1345,"Alose savoureuse","Shad, American"
1359,"Calmar à illex","Squid, Illex"
1385,"Limande à queue jaune","Flounder, Yellowtail"
1917,"Crabe vert","Crab, Green"
1921,"Tanche-tautogue","Cunner"
1947,"Alose tyran","Menhaden, Atlantic"
1961,"Chaboisseau à épines courtes","Sculpin, Shorthorn"
3392,"Hareng atlantique","Herring, Atlantic"
4311,"Poisson de fond non spécifié","Groundfish, Unspecified"
4313,"Hareng et Maquereau","Herring and Mackerel"
4408,"Hareng du Pacifique","Herring, Pacific"
14714,"Chabots (COTTIDAE)","Sculpins (COTTIDAE)"
16349,"Capucette (Menidia menidia)","Silverside, Atlantic"
16356,"Merlus (Merlucciidae)","Hakes"
16553,"Chaboisseau à dix-huit épines","Sculpin, Longhorn"
16860,"Panope (Panopea abrupta)","Geoduck, Pacific"
17087,"Pieuvres (OCTOPUS)","Octopus (OCTOPUS)"
17375,"Éperlan","Smelt"
18287,"Salmonidés","Salmons"
18398,"Sébastes","Redfishes"
18465,"Couteau du Pacifique","Clams, Pacific Razor"
18554,"Aiguillats","Dogfishes unspecified"
19014,"Calmars (Teuthida)","Squids"
19056,"Thons, non spécifiés","Tunas, Unspecified"
25128,"Têtes de saumons","Salmon heads"
25130,"Maquereau et thon","Mackerel and Tuna"
38440,"10 % (en poids) de crabe commun, 90 % d'autres espèces (peu importe le mélange d'espèces)","10% (in weight) of rock crab, 90% of other species (whatever the species mix is)"
38441,"20 % (en poids) de crabe commun, 80 % d'autres espèces (peu importe le mélange d'espèces)","20% (in weight) of rock crab, 80% of other species (whatever the species mix is)"
38442,"30 % (en poids) de crabe commun, 70 % d'autres espèces (peu importe le mélange d'espèces)","30% (in weight) of rock crab, 70% of other species (whatever the species mix is)"
38443,"40 % (en poids) de crabe commun, 60 % d'autres espèces (peu importe le mélange d'espèces)","40% (in weight) of rock crab, 60% of other species (whatever the species mix is)"
38444,"50 % (en poids) de crabe commun, 50 % d'autres espèces (peu importe le mélange d'espèces)","50% (in weight) of rock crab, 50% of other species (whatever the species mix is)"
38445,"60 % (en poids) de crabe commun, 40 % d'autres espèces (peu importe le mélange d'espèces)","60% (in weight) of rock crab, 40% of other species (whatever the species mix is)"
38446,"70 % (en poids) de crabe commun, 30 % d'autres espèces (peu importe le mélange d'espèces)","70% (in weight) of rock crab, 30% of other species (whatever the species mix is)"
38447,"80 % (en poids) de crabe commun, 20 % d'autres espèces (peu importe le mélange d'espèces)","80% (in weight) of rock crab, 20% of other species (whatever the species mix is)"
38448,"90 % (en poids) de crabe commun, 10 % d'autres espèces (peu importe le mélange d'espèces)","90% (in weight) of rock crab, 10% of other species (whatever the species mix is)"
38503,"Déchets","Waste"
38506,"Manquant sur la liste","Missing in the list"
39773,"Appât en granules","Pellets"
39774,"Pâte de poisson","Fish Paste"
39775,"Mélange d'espèces de poissons (et abats et rebuts de poissons)","Mixed Fish Species (and offal and scraps)"
39776,"Appât expérimental","Experimental bait"
39777,"Appât électronique","Electronic bait"
39778,"Inconnu","Unknown"
39795,"Appât synthétique","Synthetic bait"
