"CODE_ID","DESC_FRE","DESC_ENG"
37810,"Échantillon pour ACIA (Agence Canadienne d'Inspection des Aliments)","CFIA sample (Canadian Food Inspection Agency)"
37812,"Échantillon (pour contrôle de qualité)","Sample (for quality control)"
37814,"Partage avec l'équipage (donné ou vendu)","Crew share (given or sold)"
37816,"Compagnie (à l'usage de la compagnie, peut inclure de la vente locale)","Company (for own purpose, may include some local sales)"
37818,"Vente","Sale"
37820,"Rejet","Discard"
37822,"Consommation personnelle","Personal consumption"
37824,"Autre (spécifiez)","Other (specify)"
37890,"Pour consommation","For food"
37892,"Pour appât","For bait"
37894,"Pour les oeufs","For roe"
