CODE_ID,DESC_FRE,DESC_ENG,GEAR_CLASS_DESC_FRE,GEAR_CLASS_DESC_ENG
876,Chalut de fond à panneaux,Bottom otter trawl,M,M
877,Chalut de fond à panneaux (de côté),Bottom otter trawl (side),M,M
878,Chalut de fond à panneaux (arrière),Bottom otter trawl (stern),M,M
879,Chalut mésopélagique (indéterminé),Midwater trawl (unspecified),M,M
880,"Chalut de poisson de fond, modifié",Modified groundfish trawl,M,M
881,Chalut mésopélagique (de côté),Midwater trawl (side),M,M
882,Chalut mésopélagique (arrière),Midwater trawl (stern),M,M
883,Chalut de fond,Bottom pair trawl,M,M
884,Chalut boeuf mésopélagique,Midwater pair trawl,M,M
885,Chalut semi-pélagique,Semi/midwater pelagic trawl,M,M
886,Chalut - Crevette,Shrimp trawl,M,M
887,Chalut pélagique modifié à crevettes,Modified shrimp midwater trawl,M,M
888,Senne danoise,Danish seine,M,M
889,Senne écossaise,Scottish seine,M,M
890,Senne de rivage,Beach and bar seine,F,F
891,Filet maillant turbot,Turbot gill net,F,F
892,Filet maillant morue,Cod gill net,F,F
893,Filet maillant maquereau,Mackerel gill net,F,F
894,Filet maillant hareng,Herring gill net,F,F
895,Seine à bourse,Purse seine,M,M
896,Lampara,Lampara,M,M
897,Senne boeuf,Pair seine,M,M
898,Filet maillant plie,Plaice gill net,F,F
899,Filet dérivant hareng,Herring drift,F,F
900,Filet dérivant maquereau,Mackerel drift,F,F
901,Palangre morue,Cod - longline,F,F
902,Palangre plie,Plaice - longline,F,F
903,Palangre flétan,Turbot  - longline,F,F
904,Palangre thon,Tuna - longline,F,F
905,Filet maillant,Gillnet,F,F
906,Filet maillant (dérivant),Gillnet (drift),F,F
907,Filet maillant (indéterminé),Gill net (unspecified),F,F
908,Carrelet,Square net,F,F
909,Parc fermé,Box net,F,F
910,Filet à poche,Bag net,F,F
911,Verveux,Fyke net,F,F
912,Filet haut fond,Shoal net,F,F
913,Palangrotte,Tethered hooks,F,F
914,Palangre,Longline,F,F
915,Turlutte automatique,Automated jigger,F,F
