"NOAA_SPECIES_CODE","DESC_FRE","DESC_ENG"
"130","Phoque barbu","Bearded Seal"
"124","Phoque gris","Gray Seal"
"115","Phoque commun","Harbour Seal"
"132","Phoque à capuchon","Hooded Seal"
"131","Phoque du Groënland","Harp Seal"
"016","Béluga","Beluga Whale"
"010","Petit rorqual","Minke Whale"
"037","Narval","Narwhal"
"221","Globicéphale","Pilot Whale"
"012","Cachalot","Sperm Whale"
"235","Baleine Boréale","Bowhead Whale"
"068","Marsouin commun","Harbour Purpoise"
"117","Phoque marbré (ou annelé)","Ringed Seal"
"114","Morse","Walrus"
"007","Rorqual commun","Fin Whale"
"101","Otarie de Californie","California Sea Lion"
"100","Otarie de Steller","Steller (Northern) Sea Lion"
"135","Loutre de mer","Sea Otter"
"039","Épaulard","Killer Whale"
"105","Otarie à fourrure des îles Pribilof","Northern (Pribilof) Fur Seal"
"231","Rorqual de Bryde","Bryde’s Whale"
"040","Rorqual bleu","Blue Whale"
"053","Dauphin commun","Common Dolphin"
"055","Dauphin de Risso (Grampus)","Grampus (Risso’s) Dolphin"
"005","Baleine grise","Gray whale"
"002","Baleine noire de l’Atlantique","North Atlantic Right Whale"
"234","Baleine à bec commune","Northern Bottlenose Whale"
"230","Baleine à bec","Beaked Whale"
"232","Cachalot nain","Dwarf Sperm Whale"
"047","Dauphin à flancs blancs de l’Atlantique","Atlantic White-sided dolphin"
"049","Dauphin à flancs blancs du Pacifique","Pacific White-sided dolphin"
"011","Rorqual à bosse","Humpback Whale"
"129","Éléphant de mer","Northern Elephant Seal"
"063","Dauphin à dos lisse","Northern Right Whale Dolphin"
"038","Faux-orque","False Killer Whale"
"072","Marsouin de Dall","Dall’s Porpoise"
"061","Dauphin bleu","Striped Dolphin"
"058","Dauphin tacheté","Spotted Dolphin"
"060","Dauphin à long bec","Spinner Dolphin"
"203","Otarie non identifiée","Unidentified Sea Lion"
"204","Phoque non identifié","Unidentified Seal"
"236","Petit cétacé non identifié","Unidentified small cetacean"
"210","Baleine à fanons non identifiée","Unidentified Baleen Whale"
"220","Baleine à dents non identifiée","Unidentified Toothed Whale"
"116","Phoque tacheté","Spotted Seal"
"121","Phoque annelé à rubans (ou rubané)","Ribbon Seal"
