"CODE_ID","DESC_FRE","DESC_ENG","PROV_CODE_ID","PROV_DESC_FRE","PROV_DESC_ENG"
2599,"NUUK (GODTHAAB)","NUUK (GODTHAAB)",,"",""
19128,"PENDER ISLAND","PENDER ISLAND",172,"Colombie-Britannique","British Columbia"
19130,"PENTICTON","PENTICTON",172,"Colombie-Britannique","British Columbia"
19131,"PINANTAN LAKE","PINANTAN LAKE",172,"Colombie-Britannique","British Columbia"
19133,"PITT MEADOWS","PITT MEADOWS",172,"Colombie-Britannique","British Columbia"
19134,"PORT ALBERNI","PORT ALBERNI",172,"Colombie-Britannique","British Columbia"
19135,"PORT ALBION","PORT ALBION",172,"Colombie-Britannique","British Columbia"
19136,"PORT ALICE","PORT ALICE",172,"Colombie-Britannique","British Columbia"
19137,"PORT CLEMENTS","PORT CLEMENTS",172,"Colombie-Britannique","British Columbia"
19138,"PORT COQUITLAM","PORT COQUITLAM",172,"Colombie-Britannique","British Columbia"
19139,"PORT EDWARD","PORT EDWARD",172,"Colombie-Britannique","British Columbia"
19140,"PORT HARDY","PORT HARDY",172,"Colombie-Britannique","British Columbia"
19141,"PORT MCNEILL","PORT MCNEILL",172,"Colombie-Britannique","British Columbia"
19142,"PORT MELLON","PORT MELLON",172,"Colombie-Britannique","British Columbia"
19143,"PORT MOODY","PORT MOODY",172,"Colombie-Britannique","British Columbia"
19144,"PORT NEVILLE","PORT NEVILLE",172,"Colombie-Britannique","British Columbia"
19145,"PORT RENFREW","PORT RENFREW",172,"Colombie-Britannique","British Columbia"
19146,"PORT SIMPSON","PORT SIMPSON",172,"Colombie-Britannique","British Columbia"
19148,"POWELL RIVER","POWELL RIVER",172,"Colombie-Britannique","British Columbia"
19151,"PRINCE RUPERT","PRINCE RUPERT",172,"Colombie-Britannique","British Columbia"
19154,"PROCTER","PROCTER",172,"Colombie-Britannique","British Columbia"
19157,"PROTECTION ISLAND","PROTECTION ISLAND",172,"Colombie-Britannique","British Columbia"
19160,"QUATHIASKI COVE","QUATHIASKI COVE",172,"Colombie-Britannique","British Columbia"
19161,"QUATSINO","QUATSINO",172,"Colombie-Britannique","British Columbia"
19162,"QUEEN CHARLOTTE CITY","QUEEN CHARLOTTE CITY",172,"Colombie-Britannique","British Columbia"
19164,"QUILCHENA","QUILCHENA",172,"Colombie-Britannique","British Columbia"
19166,"READ ISLAND","READ ISLAND",172,"Colombie-Britannique","British Columbia"
19168,"REFUGE COVE","REFUGE COVE",172,"Colombie-Britannique","British Columbia"
19169,"REMAC","REMAC",172,"Colombie-Britannique","British Columbia"
19170,"REVELSTOKE","REVELSTOKE",172,"Colombie-Britannique","British Columbia"
19171,"RICHMOND","RICHMOND",172,"Colombie-Britannique","British Columbia"
19172,"RIONDEL","RIONDEL",172,"Colombie-Britannique","British Columbia"
19174,"RIVER JORDAN","RIVER JORDAN",172,"Colombie-Britannique","British Columbia"
19175,"RIVERS INLET","RIVERS INLET",172,"Colombie-Britannique","British Columbia"
19176,"ROBERTS CREEK","ROBERTS CREEK",172,"Colombie-Britannique","British Columbia"
19177,"ROBSON","ROBSON",172,"Colombie-Britannique","British Columbia"
19183,"ROYSTON","ROYSTON",172,"Colombie-Britannique","British Columbia"
19186,"SAANICH","SAANICH",172,"Colombie-Britannique","British Columbia"
19187,"SAANICHTON","SAANICHTON",172,"Colombie-Britannique","British Columbia"
19189,"SALMON ARM","SALMON ARM",172,"Colombie-Britannique","British Columbia"
19191,"SALTAIR","SALTAIR",172,"Colombie-Britannique","British Columbia"
19192,"SALTERY BAY","SALTERY BAY",172,"Colombie-Britannique","British Columbia"
19193,"SALTSPRING ISLAND","SALTSPRING ISLAND",172,"Colombie-Britannique","British Columbia"
19195,"SANDSPIT","SANDSPIT",172,"Colombie-Britannique","British Columbia"
19197,"SATURNA","SATURNA",172,"Colombie-Britannique","British Columbia"
19198,"SATURNA ISLAND","SATURNA ISLAND",172,"Colombie-Britannique","British Columbia"
19199,"SAVARY ISLAND","SAVARY ISLAND",172,"Colombie-Britannique","British Columbia"
19200,"SAVONA","SAVONA",172,"Colombie-Britannique","British Columbia"
19201,"SAYWARD","SAYWARD",172,"Colombie-Britannique","British Columbia"
19202,"SCOTCH CREEK","SCOTCH CREEK",172,"Colombie-Britannique","British Columbia"
19203,"SECHELT","SECHELT",172,"Colombie-Britannique","British Columbia"
19204,"SECRET COVE","SECRET COVE",172,"Colombie-Britannique","British Columbia"
19206,"SEWELL INLET","SEWELL INLET",172,"Colombie-Britannique","British Columbia"
19207,"SHALALTH","SHALALTH",172,"Colombie-Britannique","British Columbia"
19208,"SHAWNIGAN LAKE","SHAWNIGAN LAKE",172,"Colombie-Britannique","British Columbia"
19209,"SHEARWATER","SHEARWATER",172,"Colombie-Britannique","British Columbia"
19210,"SICAMOUS","SICAMOUS",172,"Colombie-Britannique","British Columbia"
19211,"SIDNEY","SIDNEY",172,"Colombie-Britannique","British Columbia"
19213,"SILVERTON","SILVERTON",172,"Colombie-Britannique","British Columbia"
19214,"SIMOOM SOUND","SIMOOM SOUND",172,"Colombie-Britannique","British Columbia"
19217,"SKIDEGATE","SKIDEGATE",172,"Colombie-Britannique","British Columbia"
19219,"SLOCAN","SLOCAN",172,"Colombie-Britannique","British Columbia"
19222,"SOINTULA","SOINTULA",172,"Colombie-Britannique","British Columbia"
19223,"SOOKE","SOOKE",172,"Colombie-Britannique","British Columbia"
19224,"SORRENTO","SORRENTO",172,"Colombie-Britannique","British Columbia"
19227,"SOUTHBANK","SOUTHBANK",172,"Colombie-Britannique","British Columbia"
19231,"SQUAMISH","SQUAMISH",172,"Colombie-Britannique","British Columbia"
19232,"SQUIRREL COVE","SQUIRREL COVE",172,"Colombie-Britannique","British Columbia"
19233,"STEWART","STEWART",172,"Colombie-Britannique","British Columbia"
19234,"STUART ISLAND","STUART ISLAND",172,"Colombie-Britannique","British Columbia"
19235,"SULLIVAN BAY","SULLIVAN BAY",172,"Colombie-Britannique","British Columbia"
19236,"SUMMERLAND","SUMMERLAND",172,"Colombie-Britannique","British Columbia"
19238,"SUNSET PRAIRIE","SUNSET PRAIRIE",172,"Colombie-Britannique","British Columbia"
19239,"SURGE NARROWS","SURGE NARROWS",172,"Colombie-Britannique","British Columbia"
19242,"TACHIE","TACHIE",172,"Colombie-Britannique","British Columbia"
19243,"TAHSIS","TAHSIS",172,"Colombie-Britannique","British Columbia"
19244,"TAKLA LANDING","TAKLA LANDING",172,"Colombie-Britannique","British Columbia"
19245,"TAKYSIE LAKE","TAKYSIE LAKE",172,"Colombie-Britannique","British Columbia"
19251,"TELEGRAPH COVE","TELEGRAPH COVE",172,"Colombie-Britannique","British Columbia"
19255,"THETIS ISLAND","THETIS ISLAND",172,"Colombie-Britannique","British Columbia"
19260,"TOFINO","TOFINO",172,"Colombie-Britannique","British Columbia"
19263,"TRAIL","TRAIL",172,"Colombie-Britannique","British Columbia"
19264,"TROUT LAKE","TROUT LAKE",172,"Colombie-Britannique","British Columbia"
19265,"TSAWWASSEN","TSAWWASSEN",172,"Colombie-Britannique","British Columbia"
19266,"TULAMEEN","TULAMEEN",172,"Colombie-Britannique","British Columbia"
