"CODE_ID","DESC_FRE","DESC_ENG"
1335,"Requin pèlerin","Shark, Basking"
1337,"Requin bleu","Shark, Blue"
1344,"Laimargue","Shark, Greenland"
1348,"Mako à nageoires courtes","Mako, Shortfin"
1358,"Maraîche","Shark, Porbeagle"
1363,"Bar rayé","Bass, Striped"
1372,"Béluga","Beluga"
1375,"Loup à tête large","Wolffish, Northern"
1382,"Loup tacheté","Wolffish, Spotted"
1383,"Loup atlantique","Wolffish, Atlantic"
4561,"Tortue caouanne","Turtle, Loggerhead Sea"
10561,"Tortue luth","Turtle, Leatherback Sea"
13276,"Renard","Shark, Thresher"
14009,"Requin blanc","Shark, White"
14197,"Rorqual bleu","Whale, Blue"
15620,"Baleine noire de l'Atlantique Nord","Whale, North Atlantic Right (North Atlantic right whale)"
