"CODE_ID","DESC_FRE","DESC_ENG"
808,"Poissons de fond","Groundfish"
810,"Pélagiques","Pelagics"
814,"Autres","Other"
1107,"Germon, Thon","Tuna, Albacore"
1265,"Raie tachetée","Skate, Big / Winter"
1266,"Gaspareau","Alewife"
1268,"Baudroie d'Amérique","Monkfish"
1269,"Morue polaire","Cod, Arctic"
1270,"Argentine","Argentine"
1272,"Thon ventru","Tuna, Bigeye"
1273,"Thon rouge du Pacifique","Tuna, Pacific Bluefin"
1274,"Crevette nordique","Shrimp, Pandalus borealis"
1276,"Makaire bleu","Marlin, Atlantic Blue"
1277,"Capelan","Capelin"
1278,"Omble chevalier","Char, Arctic"
1279,"Mactre de l'Atlantique","Clams, Bar"
1280,"Pitot","Clams, Northern Propeller"
1281,"Palourde quahaug","Clams, Quahaugs"
1282,"Mye commune","Clams, Soft Shell"
1283,"Palourdes non spécifiées","Clams, Unspecified"
1284,"Morue de l'Atlantique","Cod, Atlantic"
1285,"Crabe non spécifié","Crab, Unspecified"
1286,"Crabe nordique","Crab, Jonah"
1287,"Crabe commun","Crab, Rock"
1288,"Crabes des neiges","Crab, Queen Snow"
1289,"Crabe rouge","Crab, Red"
1290,"Crabe araignée","Crab, Spider"
1291,"Crustacés non spécifiés","Crustaceans, Unspecified"
1292,"Mactre de Stimpson","Clam, Stimpson's Surf"
1293,"Aiguillat commun","Spiny Dogfish"
1296,"Anguille d'Amérique","Eel, American"
1298,"Plie rouge","Flounder, Winter"
1299,"Plies non spécifiées","Flatfishes, not specified"
1300,"Flétan du Groenland","Halibut, Greenland"
1301,"Grenadiers","Grenadiers"
1302,"Ogac","Cod, Greenland"
1303,"Aiglefin","Haddock"
1304,"Flétan atlantique","Halibut, Atlantic"
1306,"Antimore bleu","Hake, Blue"
1307,"Merluche rouge","Hake, Red"
1308,"Merlu argenté","Hake, Silver"
1309,"Merluche blanche","Hake, White"
1311,"Crabe épineux du Nord","Crab, Norway King"
1312,"Homard","Lobster"
1314,"Lompe","Lumpfish"
1315,"Maquereau bleu","Mackerel, Atlantic"
1316,"Mollusques non spécifiés","Molluscs, Unspecified"
1317,"Crevette ésope","Shrimp, Pandalus montagui"
1319,"Moule bleue","Mussel, Blue"
1320,"Pieuvre (Octopoda)","Octopus (Octopoda)"
1321,"Loquette d'Amérique","Pout, Ocean"
1322,"Autre (non valide)","Other (invalid)"
1323,"Huître","Oysters, American"
1324,"Bigorneau (Littorina littorea)","Periwinkle"
1325,"Plie canadienne","Plaice, American"
1326,"Goberge","Pollock"
1330,"Grenadier berglax","Grenadier, Roughhead"
1331,"Grenadier de roche","Grenadier, Roundnose"
1332,"Saumon atlantique","Salmon, Atlantic"
1334,"Balaou","Billfish"
1335,"Requin pèlerin","Shark, Basking"
1336,"Phoque barbu","Seal, Bearded"
1337,"Requin bleu","Shark, Blue"
1338,"Pétoncle d'Islande","Scallop, Icelandic"
1339,"Pétoncle géant","Scallop, Sea"
1340,"Concombre de mer (Holothuroidea)","Sea Cucumber"
1341,"Pétoncle","Scallop"
1342,"Phoque gris","Seal, Grey"
1343,"Phoques, non spécifiés","Seals, Unspecified"
1344,"Laimargue","Shark, Greenland"
1345,"Alose savoureuse","Shad, American"
1346,"Phoque commun","Seal, Harbour"
1347,"Phoque à capuchon","Seal, Hooded"
1348,"Mako à nageoires courtes","Mako, Shortfin"
1349,"Requin-marteau","Shark, Hammerhead"
1350,"Phoque du Groënland","Seal, Harp"
1351,"Crevettes non spécifiées","Shrimp, Other"
1352,"Requins non spécifiés","Shark, unspecified"
1353,"Raies (Rajidae)","Skates"
1354,"Thonine à ventre rayé","Tuna, Skipjack"
1355,"Raie","Skate, Longnose"
1356,"Lançon nordique (ou équille)","Sand Lance"
1358,"Maraîche","Shark, Porbeagle"
1359,"Calmar à illex","Squid, Illex"
1360,"Calmar loligo","Squid, Loligo"
1361,"Calmar","Squid"
1363,"Bar rayé","Bass, Striped"
1364,"Esturgeon","Sturgeon"
1366,"Espadon","Swordfish"
1367,"Poulamon","Tomcod, Atlantic"
1368,"Truite brune","Trout, Brown"
1370,"Oursins","Sea Urchins"
1371,"Brosme","Cusk"
1372,"Béluga","Beluga"
1373,"Plie grise","Flounder, Witch"
1374,"Petit rorqual","Whale, Minke"
1375,"Loup à tête large","Wolffish, Northern"
1376,"Narval","Narwhal"
1377,"Loup, non spécifié","Wolffish, Unspecified"
1378,"Globicéphale noir de l'Atlantique","Whale, Long-Finned Pilot"
1380,"Rorqual boréal","Whale, Sei"
1381,"Cachalot","Whale, Sperm"
1382,"Loup tacheté","Wolffish, Spotted"
1383,"Loup atlantique","Wolffish, Atlantic"
1384,"Baleines non spécifiées","Whales, Baleen"
1385,"Limande à queue jaune","Flounder, Yellowtail"
1386,"Albacore à nageoires jaunes","Tuna, Yellowfin"
1437,"Baleine boréale","Whale, Bowhead"
1889,"Morue du Pacifique","Cod, Pacific"
1891,"Alarie succulente (Alaria esculenta)","Winged Kelp (Alaria esculenta)"
1895,"Ascophylle (Ascophyllum nodosum)","Rockweed (Ascophyllum nodosum)"
1901,"Stromaté","Butterfish, Atlantic"
1903,"Aiguillat noir","Dogfish, Black"
1909,"Couteau de l'Atlantique","Clams, Atlantic Razor"
1913,"Coques","Cockles"
1915,"Natice commune du Nord","Moonshell / Moonsnail, Common Northern"
1917,"Crabe vert","Crab, Green"
1919,"Araignée de mer (Neolithodes grimaldii)","Crab, Porcupine"
1921,"Tanche-tautogue","Cunner"
1925,"Main-de-mer palmée (Palmaria palmata)","Dulse (Palmaria palmata)"
1935,"Myxine du Nord","Hagfish, Atlantic"
1937,"Marsouin commun","Porpoise, Harbour"
1939,"Mousse d'Irlande (Chondrus crispus)","Irish Moss (Chondrus crispus)"
1941,"Laminaire","Kelp (Brown Algae)"
1943,"Coryphène commun","Dolphinfish, Common"
1945,"Makaire blanc","Marlin, White"
1947,"Alose tyran","Menhaden, Atlantic"
1951,"Praire d'Islande","Quahaug, Ocean"
1957,"Doré","Walleye (Pickerel)"
1961,"Chaboisseau à épines courtes","Sculpin, Shorthorn"
1963,"Phoque annelé","Seal, Ringed"
1967,"Crevette blanche","Shrimp, Pink Glass"
1969,"Lompénie-serpent","Snakeblenny"
1973,"Meunier noir","Sucker, White"
1975,"Tile","Tilefish"
1977,"Truite arc-en-ciel","Trout, Rainbow"
1979,"Terrassier tacheté","Wrymouth"
1985,"Buccin (Buccinum undatum)","Whelk"
