STAT_SECT_CODE_ID,STAT_SECT_DESC_FRE,STAT_SECT_DESC_ENG,FMA_CODE_ID,FMA_DESC_FRE,FMA_DESC_ENG
38063,Section #01: 1 - Cape Norman à Cape Bauld,Section #01: 1 - Cape Norman to Cape Bauld,2097,Homard - Zone de pêche 14c,Lobster Fishing Area 14c
38064,Section #02: 2 - Cape Bauld à Lobster Point,Section #02: 2 - Cape Bauld to Lobster Point,1653,Homard - Zone de pêche 03,Lobster Fishing Area 03
38065,Section #03: 3 - Lobster Point à Cape Fox,Section #03: 3 - Lobster Point to Cape Fox,1653,Homard - Zone de pêche 03,Lobster Fishing Area 03
38066,Section #04: 4 - Cape Fox à Partridge Point,Section #04: 4 - Cape Fox to Partridge Point,1653,Homard - Zone de pêche 03,Lobster Fishing Area 03
38067,Section #05: 5 - Patridge Point à Cape St. John,Section #05: 5 - Patridge Point to Cape St. John,1653,Homard - Zone de pêche 03,Lobster Fishing Area 03
38068,Section #06: 6 - Cape St. John à New Bay Head,Section #06: 6 - Cape St. John to New Bay Head,2073,Homard - Zone de pêche 04a,Lobster Fishing Area 04a
38069,Section #07: 7 - New Bay Head à Farewell Head,Section #07: 7 - New Bay Head to Farewell Head,1654,Homard - Zone de pêche 04b,Lobster Fishing Area 04b
38070,Section #08: 8 - Change Islands à Fogo Island,Section #08: 8 - Change Islands to Fogo Island,1654,Homard - Zone de pêche 04b,Lobster Fishing Area 04b
38071,Section #09: 9 - Farewell Head à Cape Freels,Section #09: 9 - Farewell Head to Cape Freels,1654,Homard - Zone de pêche 04b,Lobster Fishing Area 04b
38072,Section #10: 10 - Cape Freels à Shoe Cove Point,Section #10: 10 - Cape Freels to Shoe Cove Point,1655,Homard - Zone de pêche 05,Lobster Fishing Area 05
38073,Section #11: 11 - Shoe Cove Point à Southern Head,Section #11: 11 - Shoe Cove Point to Southern Head,1655,Homard - Zone de pêche 05,Lobster Fishing Area 05
38074,Section #12: 12 - Southern Head à Western Head,Section #12: 12 - Southern Head to Western Head,1655,Homard - Zone de pêche 05,Lobster Fishing Area 05
38075,Section #13: 13 - Western Head Cape Bonavista,Section #13: 13 - Western Head Cape Bonavista,1655,Homard - Zone de pêche 05,Lobster Fishing Area 05
38076,Section #14: 14 - Cape Bonavista à South Head,Section #14: 14 - Cape Bonavista to South Head,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38077,Section #15: 15 - South Head à Bonaventure Head,Section #15: 15 - South Head to Bonaventure Head,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38078,Section #16: 16 - Bonaventure Head à West Random Head,Section #16: 16 - Bonaventure Head to West Random Head,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38079,Section #17: 17 - West Random Head à Hopeall Head,Section #17: 17 - West Random Head to Hopeall Head,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38080,Section #18: 18 - Hopeall Head à Salvage Point,Section #18: 18 - Hopeall Head to Salvage Point,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38081,Section #19: 19 - Salvage Point à Grates Point,Section #19: 19 - Salvage Point to Grates Point,2075,Homard - Zone de pêche 06,Lobster Fishing Area 06
38082,Section #20: 20 - Grates Point à Western Head Bay,Section #20: 20 - Grates Point to Western Head Bay,2077,Homard - Zone de pêche 07,Lobster Fishing Area 07
38083,Section #21: 21 - Western Bay Head à Feather Point (overlap),Section #21: 21 - Western Bay Head to Feather Point (overlap),2077,Homard - Zone de pêche 07,Lobster Fishing Area 07
38084,Section #22: 22 - Feather Point à Topsail Head,Section #22: 22 - Feather Point to Topsail Head,2077,Homard - Zone de pêche 07,Lobster Fishing Area 07
38085,Section #23: 23 - Topsail Head à Cape St. Francis,Section #23: 23 - Topsail Head to Cape St. Francis,2077,Homard - Zone de pêche 07,Lobster Fishing Area 07
38086,Section #24: 24 - Cape St. Francis à Cape Spear,Section #24: 24 - Cape St. Francis to Cape Spear,2079,Homard - Zone de pêche 08,Lobster Fishing Area 08
38087,Section #25: 25 - Cape Spear à Cape Broyle,Section #25: 25 - Cape Spear to Cape Broyle,2079,Homard - Zone de pêche 08,Lobster Fishing Area 08
38088,Section #26: 26 - Cape Broyle à Cape Race,Section #26: 26 - Cape Broyle to Cape Race,2079,Homard - Zone de pêche 08,Lobster Fishing Area 08
38089,Section #27: 27 - Cape Race à Cape Pine,Section #27: 27 - Cape Race to Cape Pine,39674,Homard - Zone de pêche 09a,Lobster Fishing Area 09a
38090,Section #28: 28 - Cape Pine à Cape St. Mary's,Section #28: 28 - Cape Pine to Cape St. Mary's,39675,Homard - Zone de pêche 09b,Lobster Fishing Area 09b
38091,Section #29: 29 - Cape St. Mary's à Bauld Head,Section #29: 29 - Cape St. Mary's to Bauld Head,2083,Homard - Zone de pêche 10,Lobster Fishing Area 10
38092,Section #30: 30 - Bauld Head à Grandy Point,Section #30: 30 - Bauld Head to Grandy Point,2083,Homard - Zone de pêche 10,Lobster Fishing Area 10
38093,Section #31: 31 - Grandy Point à Jean de Baie Head,Section #31: 31 - Grandy Point to Jean de Baie Head,2083,Homard - Zone de pêche 10,Lobster Fishing Area 10
38094,Section #32: 32 - Jean de Baie Head à Point Crewe,Section #32: 32 - Jean de Baie Head to Point Crewe,2083,Homard - Zone de pêche 10,Lobster Fishing Area 10
38095,Section #33: 33 - Point Crewe à Point Rosie,Section #33: 33 - Point Crewe to Point Rosie,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
38096,Section #34: 34 - Point Rosie à Boxey Point,Section #34: 34 - Point Rosie to Boxey Point,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
38097,Section #35: 35 - Boxey Point à Pass Island Point,Section #35: 35 - Boxey Point to Pass Island Point,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
38098,Section #36: 36 - Pass Island Point à Cape la Hune Cape,Section #36: 36 - Pass Island Point to Cape la Hune Cape,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
38099,Section #37: 37 - Cape la Hune Cape à Fox Point,Section #37: 37 - Cape la Hune Cape to Fox Point,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
38100,Section #38: 38 - Fox Point à Rose Blanche Point,Section #38: 38 - Fox Point to Rose Blanche Point,2085,Homard - Zone de pêche 11,Lobster Fishing Area 11
